Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Document Type,Publication Stage,Source,EID
"Wang X., Gu Y., He Y., Sang L., Dai Y., Wang D.",57227486300;57221930612;56941104600;57221944992;57228213900;55816827000;,Preparation and optimization formulation of zedoary turmeric oil nanoemulsion based thermo-sensitive gel for improved application in ophthalmology,2021,Journal of Drug Delivery Science and Technology,65,,102682,,,,,10.1016/j.jddst.2021.102682,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113301161&doi=10.1016%2fj.jddst.2021.102682&partnerID=40&md5=3ea3f71a5ee53fe2cc1bee42e8ef9a8a,Nanoemulsion; Pseudo-ternary phase diagram; Response surface experiment design; Thermo-sensitive gel; Zedoary turmeric oil,Article,Final,Scopus,2-s2.0-85113301161
"Monton C., Chuanchom P., Popanit P., Settharaksa S., Pathompak P.",55929051700;57225889011;57225881797;55511569400;55927782700;,"Simplex lattice design for optimization of the mass ratio of Curcuma longa L., Curcuma zedoaria (Christm.) Roscoe and Curcuma aromatica Salisb. To maximize curcuminoids content and antioxidant activity",2021,Acta Pharmaceutica,71,3,,445,457,,1,10.2478/acph-2021-0025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100849305&doi=10.2478%2facph-2021-0025&partnerID=40&md5=bdc2eb68083fde3cf9b536e67368f254,antioxidant activity; Curcuma; curcuminoids; HPLC; optimization; simplex lattice design,Article,Final,Scopus,2-s2.0-85100849305
"Widodo W., Rahayu I.D., Sutanto A., Anggraini A.D., Handayani T.",57170523100;57209420015;57205319113;57221498845;57194097676;,Utilization of White Curcuma (Curcuma zedoaria) in the Feed as an Effort to the Nutrition Digestibility Optimization of Super Kampong Chicken,2021,IOP Conference Series: Earth and Environmental Science,752,1,012058,,,,,10.1088/1755-1315/752/1/012058,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107189500&doi=10.1088%2f1755-1315%2f752%2f1%2f012058&partnerID=40&md5=37ff9cd42349bd4f867057c4c63664d8,Curcuma zedoaria; Super Kampung Chicken,Conference Paper,Final,Scopus,2-s2.0-85107189500
"Sumarawati T., Chodidjah, Nasihun T.",57194498611;57195316625;57195318576;,Both ethanol and ethyl acetate curcuma zedoaraia extract was capable of inducing cells death in t47d cell line culture,2021,Pharmacognosy Journal,13,3,,737,743,,,10.5530/pj.2021.13.94,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106387696&doi=10.5530%2fpj.2021.13.94&partnerID=40&md5=bc75dcd81621a28006e5b802a5e96cf8,Acetyl acetate; Apoptosis; Curcuma zedoaria; Ethanol; Necrosis; T47D cell line,Article,Final,Scopus,2-s2.0-85106387696
"Ren C., Lin Y., Liu X., Yan D., Xu X., Zhu D., Kong L., Han C.",57221845872;57200549609;57211112859;57214667182;57200661285;57202249914;57218708355;55942840400;,Target separation and antitumor metastasis activity of sesquiterpene-based lysine-specific demethylase 1 inhibitors from zedoary turmeric oil,2021,Bioorganic Chemistry,108,,104666,,,,,10.1016/j.bioorg.2021.104666,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100412858&doi=10.1016%2fj.bioorg.2021.104666&partnerID=40&md5=9de56df0da7a6166f95c2ea14346315f,Countercurrent chromatography; Lysine-specific histone demethylase 1 inhibitor; Sesquiterpene; Tumor metastasis; Zedoary turmeric oil,Article,Final,Scopus,2-s2.0-85100412858
"Van Do T.N., Nguyen H.X., Le T.H., Dang P.H., Nguyen M.T., Thi Nguyen M.T., Nguyen N.T.",57197796679;55133043300;56468664400;57226020861;9634268400;57219389275;54881798600;,A new diphenylheptanoid from the rhizomes of Curcuma zedoaria,2021,Zeitschrift fur Naturforschung - Section C Journal of Biosciences,,,,,,,,10.1515/znc-2021-0096,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120061067&doi=10.1515%2fznc-2021-0096&partnerID=40&md5=b13498f20d29c661aa6a80736bc202ba,Curcuma zedoaria; rhizomes; α-glucosidase inhibitor,Article,Article in Press,Scopus,2-s2.0-85120061067
"Ansari A.P., Sana S.H., Dar M.Y., Goswami P., Ahmed N.Z.",57219053041;57226502547;57226497952;57226491839;57213257439;,Validation of Unani concept of Abad l-i-Adwiya (drug substitution) by physicochemical standardization and hepatoprotective activity of Aristolochia rotunda Linn. And its substitute Curcuma Zedoaria Rosc. And albino Wistar rats,2021,Journal of Complementary and Integrative Medicine,,,,,,,,10.1515/jcim-2020-0378,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111772317&doi=10.1515%2fjcim-2020-0378&partnerID=40&md5=03b565cd684d3315f24f91b806512468,Abad l-i-Adwiya; Aristolochia rotunda; Curcuma Zedoaria; drug substitution; hepatoprotective; Unani medicine,Article,Article in Press,Scopus,2-s2.0-85111772317
"Kim K.M., Lee J.Y., Jeon B.H., Quan K.T., Na M., Nam K.-W., Chae S.",35885466600;57212924799;35292492700;57191822831;7006636995;7203003204;8924030000;,Extract of curcuma zedoaria r. Prevents atherosclerosis in apolipoprotein e-deficient mice,2021,Nutrition Research and Practice,15,3,,319,328,,,10.4162/nrp.2021.15.3.319,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107767758&doi=10.4162%2fnrp.2021.15.3.319&partnerID=40&md5=fb352e1883f96fe40a23d586c53f21d8,ApoE knockout mice; Atherosclerosis; Chemokine CX3CL1; Curcuma zedoaria; VCAM-1,Article,Final,Scopus,2-s2.0-85107767758
"Chen J., Ma Y., Tao Y., Zhao X., Xiong Y., Chen Z., Tian Y.",57202859387;57202852541;57202856826;57202856353;55906039200;57205609021;57202858934;,Formulation and evaluation of a topical liposomal gel containing a combination of zedoary turmeric oil and tretinoin for psoriasis activity,2021,Journal of Liposome Research,31,2,,130,144,,3,10.1080/08982104.2020.1748646,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083648774&doi=10.1080%2f08982104.2020.1748646&partnerID=40&md5=d61cdd68230e178f074a6979a840d60c,antipsoriatic activity; drug retention; liposomal gel; mouse tail model; mouse vaginal model; tretinoin; Zedoary turmeric oil,Article,Final,Scopus,2-s2.0-85083648774
"Hsiao J.-W., Chen L.-C., Lin C.-L., Chang T.-H., Chen C.-L., Sung P.-J., Cheng M.-J., Hung C.-J., Chen J.-J.",57204529489;56382748300;56732117000;35408563600;7501964448;57223649231;26643192800;57219705003;7501897372;,A New Sesquiterpenoid and Bioactive Constituents of Curcuma zedoaria,2020,Chemistry of Natural Compounds,56,6,,1076,1080,,,10.1007/s10600-020-03230-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094979163&doi=10.1007%2fs10600-020-03230-9&partnerID=40&md5=6708a05a30d47a50dfed4a58dca1e2b4,13-hydroxy-1-oxocurzerenone; anti-inflammatory activity; Curcuma zedoaria; cytotoxic activity; rhizomes; sesquiterpenoid; Zingiberaceae,Article,Final,Scopus,2-s2.0-85094979163
